Supplier Part Number,Customer Part Number,Manufacturer Item Number,Quantity,Unit of Measure,Description,Price,Price UOM,Line PO #,Line Acct #,Primary Available,Next Day Available,2+ Days Available,Availability UOM
2001015,,103309,,CTN,"Hammermill Fore MP Bond Cut Size, Bond, 30%PCW, SFI,8-1/2 x 11,20lb,10M,Blue,Bond,30 %PCW,500/Pkg, 5000/Ctn",,, , ,,,,
2025884,,8J8,,CTN,"Dart PS Hot/Cold Cup,8 oz,White,PS,Insulated,25/Slv, 1000/Ctn",,, , ,,,,
2025883,,6J6,,CTN,"Dart PS Hot/Cold Cup,6 oz,White,PS,Insulated,25/Slv, 1000/Ctn",,, , ,,,,
2025876,,12J12,,CTN,"Dart PS Hot/Cold Cup,12 oz,White,PS,Insulated, Space Saver,25/Slv, 1000/Ctn",,, , ,,,,
